ザ グランド マフィア,ハピタス (SKYFLAG),75377,133153
ザ グランド マフィア,モッピー (SKYFLAG),116768,116768
スマッシュパーティ,Powl (AppDriver),5664,5664
スマッシュパーティ,モッピー (AppDriver),5598,0
スマッシュパーティ,ハピタス (AppDriver),5044,5044
スマッシュパーティ,げん玉 (AppDriver),4842.7,4842.7
スマッシュパーティ,楽天ポイ活ミッション特集 (AppDriver),4130,4130
トップウォー,モッピー (SKYFLAG),44999,43642
トップウォー,COINCOME (SKYFLAG),44999,0
トップウォー,ワラウ (SKYFLAG),43411,42103
トップウォー,ちょびリッチ (SKYFLAG),42351.5,41074.5
ドゥームズデイ,ハピタス (SKYFLAG),17838,17838
ドゥームズデイ,COINCOME (SKYFLAG),12634,0
ドゥームズデイ,ワラウ (SKYFLAG),8934,12449
ドゥームズデイ 本部レベル14到達,ワラウ,1100,1100
ドゥームズデイ 本部レベル14到達,モッピー,945,945
ドゥームズデイ 本部レベル14到達,ポイントインカム,750,750
ドゥームズデイ 本部レベル14到達,COINCOME,525,525
バズーカ ロワイヤル,Powl (AppDriver),288,0
バズーカ ロワイヤル,モッピー (AppDriver),284,0
バズーカ ロワイヤル,ハピタス (AppDriver),256,0
バズーカ ロワイヤル,げん玉 (AppDriver),246.2,0
バズーカ ロワイヤル,ちょびリッチ (AppDriver),244,0
パズル サバイバル,モッピー (AppDriver),38696,38690
パズル サバイバル,Powl (AppDriver),36124.8,36124.8
パズル サバイバル,ハピタス (AppDriver),34861,32171
パズル サバイバル,ECナビ,33435,0
パズル＆カオス,ECナビ (Zucks),20450,20450
パズル＆カオス,モッピー (Zucks),20040,20040
パズル＆カオス,げん玉 (Zucks),19632,19632
パズル＆コンクエスト,ECナビ (Zucks),52130,48500
パズル＆コンクエスト,モッピー (Zucks),51087,47530
パズル＆コンクエスト,げん玉 (Zucks),50044.8,46560
ヒーローウォーズアライアンス,モッピー (SKYFLAG),1516,3036
ヒーローウォーズアライアンス,COINCOME (SKYFLAG),3036,3036
ヒーローウォーズアライアンス,ワラウ (SKYFLAG),2928,2928
ヒーローウォーズアライアンス,アメフリ,2925,2925
ヒーローウォーズアライアンス,ポイントインカム (SKYFLAG),1444.3,2892.6
ファミリーアイランド,Powl (SKYFLAG),0,1750.4
ファミリーアイランド,ワラウ,1500,0
ファミリーアイランド,ECナビ,0,600
ファミリーファームの冒険,Powl (AppDriver),9254.4,9254.4
ファミリーファームの冒険,モッピー (AppDriver),9146,9146
ファミリーファームの冒険,ハピタス (AppDriver),8240,8240
ファミリーファームの冒険,COINCOME,8210,8210
フェイトウォー,ワラウ,12850,12850
フェイトウォー,モッピー (SKYFLAG),12269,12269
フェイトウォー,アメフリ,11832,11832
